,Name,College
0,Avery Bradley,Texas
1,Jae Crowder,Marquette
2,John Holland,Boston University
3,R.J. Hunter,Georgia State
4,Jonas Jerebko,
5,Amir Johnson,
6,Jordan Mickey,LSU
7,Kelly Olynyk,Gonzaga
8,Terry Rozier,Louisville
9,Marcus Smart,Oklahoma State
10,Jared Sullinger,Ohio State
11,Isaiah Thomas,Washington
12,Evan Turner,Ohio State
13,James Young,Kentucky
14,Tyler Zeller,North Carolina
15,Bojan Bogdanovic,
16,Markel Brown,Oklahoma State
17,Wayne Ellington,North Carolina
18,Rondae Hollis-Jefferson,Arizona
19,Jarrett Jack,Georgia Tech
20,Sergey Karasev,
21,Sean Kilpatrick,Cincinnati
22,Shane Larkin,Miami (FL)
23,Brook Lopez,Stanford
24,Chris McCullough,Syracuse
25,Willie Reed,Saint Louis
26,Thomas Robinson,Kansas
27,Henry Sims,Georgetown
28,Donald Sloan,Texas A&M
29,Thaddeus Young,Georgia Tech
30,Arron Afflalo,UCLA
31,Lou Amundson,UNLV
32,Thanasis Antetokounmpo,
33,Carmelo Anthony,Syracuse
34,Jose Calderon,
35,Cleanthony Early,Wichita State
36,Langston Galloway,Saint Joseph's
37,Jerian Grant,Notre Dame
38,Robin Lopez,Stanford
39,Kyle O'Quinn,Norfolk State
40,Kristaps Porzingis,
41,Kevin Seraphin,
42,Lance Thomas,Duke
43,Sasha Vujacic,
44,Derrick Williams,Arizona
45,Tony Wroten,Washington
46,Elton Brand,Duke
47,Isaiah Canaan,Murray State
48,Robert Covington,Tennessee State
49,Joel Embiid,Kansas
50,Jerami Grant,Syracuse
51,Richaun Holmes,Bowling Green
52,Carl Landry,Purdue
53,Kendall Marshall,North Carolina
54,T.J. McConnell,Arizona
55,Nerlens Noel,Kentucky
56,Jahlil Okafor,Duke
57,Ish Smith,Wake Forest
58,Nik Stauskas,Michigan
59,Hollis Thompson,Georgetown
60,Christian Wood,UNLV
61,Bismack Biyombo,
62,Bruno Caboclo,
63,DeMarre Carroll,Missouri
64,DeMar DeRozan,USC
65,James Johnson,Wake Forest
66,Cory Joseph,Texas
67,Kyle Lowry,Villanova
68,Lucas Nogueira,
69,Patrick Patterson,Kentucky
70,Norman Powell,UCLA
71,Terrence Ross,Washington
72,Luis Scola,
73,Jason Thompson,Rider
74,Jonas Valanciunas,
75,Delon Wright,Utah
76,Leandro Barbosa,
77,Harrison Barnes,North Carolina
78,Andrew Bogut,Utah
79,Ian Clark,Belmont
80,Stephen Curry,Davidson
81,Festus Ezeli,Vanderbilt
82,Draymond Green,Michigan State
83,Andre Iguodala,Arizona
84,Shaun Livingston,
85,Kevon Looney,UCLA
86,James Michael McAdoo,North Carolina
87,Brandon Rush,Kansas
88,Marreese Speights,Florida
89,Klay Thompson,Washington State
90,Anderson Varejao,
91,Cole Aldrich,Kansas
92,Jeff Ayres,Arizona State
93,Jamal Crawford,Michigan
94,Branden Dawson,Michigan State
95,Jeff Green,Georgetown
96,Blake Griffin,Oklahoma
97,Wesley Johnson,Syracuse
98,DeAndre Jordan,Texas A&M
99,Luc Richard Mbah a Moute,UCLA
100,Chris Paul,Wake Forest
101,Paul Pierce,Kansas
102,Pablo Prigioni,
103,JJ Redick,Duke
104,Austin Rivers,Duke
105,C.J. Wilcox,Washington
106,Brandon Bass,LSU
107,Tarik Black,Kansas
108,Anthony Brown,Stanford
109,Kobe Bryant,
110,Jordan Clarkson,Missouri
111,Roy Hibbert,Georgetown
112,Marcelo Huertas,
113,Ryan Kelly,Duke
114,Larry Nance Jr.,Wyoming
115,Julius Randle,Kentucky
116,D'Angelo Russell,Ohio State
117,Robert Sacre,Gonzaga
118,Louis Williams,
119,Metta World Peace,St. John's
120,Nick Young,USC
121,Eric Bledsoe,Kentucky
122,Devin Booker,Kentucky
123,Chase Budinger,Arizona
124,Tyson Chandler,
125,Archie Goodwin,Kentucky
126,John Jenkins,Vanderbilt
127,Brandon Knight,Kentucky
128,Alex Len,Maryland
129,Jon Leuer,Wisconsin
130,Phil Pressey,Missouri
131,Ronnie Price,Utah Valley
132,Mirza Teletovic,
133,P.J. Tucker,Texas
134,T.J. Warren,North Carolina State
135,Alan Williams,UC Santa Barbara
136,Quincy Acy,Baylor
137,James Anderson,Oklahoma State
138,Marco Belinelli,
139,Caron Butler,Connecticut
140,Omri Casspi,
141,Willie Cauley-Stein,Kentucky
142,Darren Collison,UCLA
143,DeMarcus Cousins,Kentucky
144,Seth Curry,Duke
145,Duje Dukan,Wisconsin
146,Rudy Gay,Connecticut
147,Kosta Koufos,Ohio State
148,Ben McLemore,Kansas
149,Eric Moreland,Oregon State
150,Rajon Rondo,Kentucky
151,Cameron Bairstow,New Mexico
152,Aaron Brooks,Oregon
153,Jimmy Butler,Marquette
154,Mike Dunleavy,Duke
155,Cristiano Felicio,
156,Pau Gasol,
157,Taj Gibson,USC
158,Justin Holiday,Washington
159,Doug McDermott,Creighton
160,Nikola Mirotic,
161,E'Twaun Moore,Purdue
162,Joakim Noah,Florida
163,Bobby Portis,Arkansas
164,Derrick Rose,Memphis
165,Tony Snell,New Mexico
166,Matthew Dellavedova,Saint Mary's
167,Channing Frye,Arizona
168,Kyrie Irving,Duke
169,LeBron James,
170,Richard Jefferson,Arizona
171,Dahntay Jones,Duke
172,James Jones,Miami (FL)
173,Sasha Kaun,Kansas
174,Kevin Love,UCLA
175,Jordan McRae,Tennessee
176,Timofey Mozgov,
177,Iman Shumpert,Georgia Tech
178,J.R. Smith,
179,Tristan Thompson,Texas
180,Mo Williams,Alabama
181,Joel Anthony,UNLV
182,Aron Baynes,Washington State
183,Steve Blake,Maryland
184,Lorenzo Brown,North Carolina State
185,Reggie Bullock,North Carolina
186,Kentavious Caldwell-Pope,Georgia
187,Spencer Dinwiddie,Colorado
188,Andre Drummond,Connecticut
189,Tobias Harris,Tennessee
190,Darrun Hilliard,Villanova
191,Reggie Jackson,Boston College
192,Stanley Johnson,Arizona
193,Jodie Meeks,Kentucky
194,Marcus Morris,Kansas
195,Anthony Tolliver,Creighton
196,Lavoy Allen,Temple
197,Rakeem Christmas,Syracuse
198,Monta Ellis,
199,Paul George,Fresno State
200,George Hill,IUPUI
201,Jordan Hill,Arizona
202,Solomon Hill,Arizona
203,Ty Lawson,North Carolina
204,Ian Mahinmi,
205,C.J. Miles,
206,Glenn Robinson III,Michigan
207,Rodney Stuckey,Eastern Washington
208,Myles Turner,Texas
209,Shayne Whittington,Western Michigan
210,Joe Young,Oregon
211,Giannis Antetokounmpo,
212,Jerryd Bayless,Arizona
213,Michael Carter-Williams,Syracuse
214,Jared Cunningham,Oregon State
215,Tyler Ennis,Syracuse
216,John Henson,North Carolina
217,Damien Inglis,
218,O.J. Mayo,USC
219,Khris Middleton,Texas A&M
220,Greg Monroe,Georgetown
221,Steve Novak,Marquette
222,Johnny O'Bryant III,LSU
223,Jabari Parker,Duke
224,Miles Plumlee,Duke
225,Greivis Vasquez,Maryland
226,Rashad Vaughn,UNLV
227,Justin Anderson,Virginia
228,J.J. Barea,Northeastern
229,Jeremy Evans,Western Kentucky
230,Raymond Felton,North Carolina
231,Devin Harris,Wisconsin
232,David Lee,Florida
233,Wesley Matthews,Marquette
234,JaVale McGee,Nevada
235,Salah Mejri,
236,Dirk Nowitzki,
237,Zaza Pachulia,
238,Chandler Parsons,Florida
239,Dwight Powell,Stanford
240,Charlie Villanueva,Connecticut
241,Deron Williams,Illinois
242,Trevor Ariza,UCLA
243,Michael Beasley,Kansas State
244,Patrick Beverley,Arkansas
245,Corey Brewer,Florida
246,Clint Capela,
247,Sam Dekker,Wisconsin
248,Andrew Goudelock,Charleston
249,James Harden,Arizona State
250,Montrezl Harrell,Louisville
251,Dwight Howard,
252,Terrence Jones,Kentucky
253,K.J. McDaniels,Clemson
254,Donatas Motiejunas,
255,Josh Smith,
256,Jason Terry,Arizona
257,Jordan Adams,UCLA
258,Tony Allen,Oklahoma State
259,Chris Andersen,Blinn College
260,Matt Barnes,UCLA
261,Vince Carter,North Carolina
262,Mike Conley,Ohio State
263,Bryce Cotton,Providence
264,Jordan Farmar,UCLA
265,Marc Gasol,
266,JaMychal Green,Alabama
267,P.J. Hairston,North Carolina
268,Jarell Martin,LSU
269,Ray McCallum,Detroit
270,Xavier Munford,Rhode Island
271,Zach Randolph,Michigan State
272,Lance Stephenson,Cincinnati
273,Alex Stepheson,USC
274,Brandan Wright,North Carolina
275,Alexis Ajinca,
276,Ryan Anderson,California
277,Omer Asik,
278,Luke Babbitt,Nevada
279,Norris Cole,Cleveland State
280,Dante Cunningham,Villanova
281,Anthony Davis,Kentucky
282,Bryce Dejean-Jones,Iowa State
283,Toney Douglas,Florida State
284,James Ennis,Long Beach State
285,Tyreke Evans,Memphis
286,Tim Frazier,Penn State
287,Alonzo Gee,Alabama
288,Eric Gordon,Indiana
289,Jordan Hamilton,Texas
290,Jrue Holiday,UCLA
291,Orlando Johnson,UC Santa Barbara
292,Kendrick Perkins,
293,Quincy Pondexter,Washington
294,LaMarcus Aldridge,Texas
295,Kyle Anderson,UCLA
296,Matt Bonner,Florida
297,Boris Diaw,
298,Tim Duncan,Wake Forest
299,Manu Ginobili,
300,Danny Green,North Carolina
301,Kawhi Leonard,San Diego State
302,Boban Marjanovic,
303,Kevin Martin,Western Carolina
304,Andre Miller,Utah
305,Patty Mills,Saint Mary's
306,Tony Parker,
307,Jonathon Simmons,Houston
308,David West,Xavier
309,Kent Bazemore,Old Dominion
310,Tim Hardaway Jr.,Michigan
311,Kirk Hinrich,Kansas
312,Al Horford,Florida
313,Kris Humphries,Minnesota
314,Kyle Korver,Creighton
315,Paul Millsap,Louisiana Tech
316,Mike Muscala,Bucknell
317,Lamar Patterson,Pittsburgh
318,Dennis Schroder,
319,Mike Scott,Virginia
320,Thabo Sefolosha,
321,Tiago Splitter,
322,Walter Tavares,
323,Jeff Teague,Wake Forest
324,Nicolas Batum,
325,Troy Daniels,Virginia Commonwealth
326,Jorge Gutierrez,California
327,Tyler Hansbrough,North Carolina
328,Aaron Harrison,Kentucky
329,Spencer Hawes,Washington
330,Al Jefferson,
331,Frank Kaminsky III,Wisconsin
332,Michael Kidd-Gilchrist,Kentucky
333,Jeremy Lamb,Connecticut
334,Courtney Lee,Western Kentucky
335,Jeremy Lin,Harvard
336,Kemba Walker,Connecticut
337,Marvin Williams,North Carolina
338,Cody Zeller,Indiana
339,Chris Bosh,Georgia Tech
340,Luol Deng,Duke
341,Goran Dragic,
342,Gerald Green,
343,Udonis Haslem,Florida
344,Joe Johnson,Arkansas
345,Tyler Johnson,Fresno State
346,Josh McRoberts,Duke
347,Josh Richardson,Tennessee
348,Amar'e Stoudemire,
349,Dwyane Wade,Marquette
350,Briante Weber,Virginia Commonwealth
351,Hassan Whiteside,Marshall
352,Justise Winslow,Duke
353,Dorell Wright,
354,Dewayne Dedmon,USC
355,Evan Fournier,
356,Aaron Gordon,Arizona
357,Mario Hezonja,
358,Ersan Ilyasova,
359,Brandon Jennings,
360,Devyn Marble,Iowa
361,Shabazz Napier,Connecticut
362,Andrew Nicholson,St. Bonaventure
363,Victor Oladipo,Indiana
364,Elfrid Payton,Louisiana-Lafayette
365,Jason Smith,Colorado State
366,Nikola Vucevic,USC
367,C.J. Watson,Tennessee
368,Alan Anderson,Michigan State
369,Bradley Beal,Florida
370,Jared Dudley,Boston College
371,Jarell Eddie,Virginia Tech
372,Drew Gooden,Kansas
373,Marcin Gortat,
374,JJ Hickson,North Carolina State
375,Nene Hilario,
376,Markieff Morris,Kansas
377,Kelly Oubre Jr.,Kansas
378,Otto Porter Jr.,Georgetown
379,Ramon Sessions,Nevada
380,Garrett Temple,LSU
381,Marcus Thornton,LSU
382,John Wall,Kentucky
383,Darrell Arthur,Kansas
384,D.J. Augustin,Texas
385,Will Barton,Memphis
386,Wilson Chandler,DePaul
387,Kenneth Faried,Morehead State
388,Danilo Gallinari,
389,Gary Harris,Michigan State
390,Nikola Jokic,
391,Joffrey Lauvergne,
392,Mike Miller,Florida
393,Emmanuel Mudiay,
394,Jameer Nelson,Saint Joseph's
395,Jusuf Nurkic,
396,JaKarr Sampson,St. John's
397,Axel Toupane,
398,Nemanja Bjelica,
399,Gorgui Dieng,Louisville
400,Kevin Garnett,
401,Tyus Jones,Duke
402,Zach LaVine,UCLA
403,Shabazz Muhammad,UCLA
404,Adreian Payne,Michigan State
405,Nikola Pekovic,
406,Tayshaun Prince,Kentucky
407,Ricky Rubio,
408,Damjan Rudez,
409,Greg Smith,Fresno State
410,Karl-Anthony Towns,Kentucky
411,Andrew Wiggins,Kansas
412,Steven Adams,Pittsburgh
413,Nick Collison,Kansas
414,Kevin Durant,Texas
415,Randy Foye,Villanova
416,Josh Huestis,Stanford
417,Serge Ibaka,
418,Enes Kanter,Kentucky
419,Mitch McGary,Michigan
420,Nazr Mohammed,Kentucky
421,Anthony Morrow,Georgia Tech
422,Cameron Payne,Murray State
423,Andre Roberson,Colorado
424,Kyle Singler,Duke
425,Dion Waiters,Syracuse
426,Russell Westbrook,UCLA
427,Cliff Alexander,Kansas
428,Al-Farouq Aminu,Wake Forest
429,Pat Connaughton,Notre Dame
430,Allen Crabbe,California
431,Ed Davis,North Carolina
432,Maurice Harkless,St. John's
433,Gerald Henderson,Duke
434,Chris Kaman,Central Michigan
435,Meyers Leonard,Illinois
436,Damian Lillard,Weber State
437,C.J. McCollum,Lehigh
438,Luis Montero,Westchester CC
439,Mason Plumlee,Duke
440,Brian Roberts,Dayton
441,Noah Vonleh,Indiana
442,Trevor Booker,Clemson
443,Trey Burke,Michigan
444,Alec Burks,Colorado
445,Dante Exum,
446,Derrick Favors,Georgia Tech
447,Rudy Gobert,
448,Gordon Hayward,Butler
449,Rodney Hood,Duke
450,Joe Ingles,
451,Chris Johnson,Dayton
452,Trey Lyles,Kentucky
453,Shelvin Mack,Butler
454,Raul Neto,
455,Tibor Pleiss,
456,Jeff Withey,Kansas
457,,
